"coc_number","coc_name","Organization","total_spending_coc"
"MA-510","Gloucester, Haverhill, Salem/Essex County CoC","home",659232191.21207
"FL-510","Jacksonville-Duval, Clay Counties CoC","hud_hopwa",658708000
"HI-501","Honolulu City and County CoC","home",655813200
"IL-515","South Central Illinois CoC","hcv",655611700
"NJ-515","Elizabeth/Union County CoC","elderly",654692800
"PA-508","Scranton/Lackawanna County CoC","coc",654640400
"NC-504","Greensboro, High Point CoC","cdbg_entitlement",651198600
"PA-603","Beaver County CoC","cdbg_entitlement",651105800
"OH-500","Cincinnati/Hamilton County CoC","grrp_comp",6.48e+08
"NJ-514","Trenton/Mercer County CoC","cdbg_entitlement",645443200
"OK-501","Tulsa City & County CoC","home",644683500
"CA-513","Visalia/Kings, Tulare Counties CoC","cdbg_entitlement",642444300
"FL-605","West Palm Beach/Palm Beach County CoC","home",641848200
"UT-503","Utah Balance of State CoC","cdbg_entitlement",641294000
"NM-501","New Mexico Balance of State CoC","grrp_comp",6.4e+08
"MO-604","Kansas City (MO&KS), Independence, Lee’s Summit/Jackson, Wyandotte Counties CoC","hud_hopwa",638522000
"FL-513","Palm Bay, Melbourne/Brevard County CoC","cdbg_entitlement",634788300
"TN-500","Chattanooga/Southeast Tennessee CoC","coc",634772400
"WA-501","Washington Balance of State CoC","coc",633631100
"WA-502","Spokane City & County CoC","coc",633300500
"PA-511","Bristol, Bensalem/Bucks County CoC","cdbg_entitlement",630144200
"MO-501","St. Louis City CoC","home",627938500
"SC-501","Greenville, Anderson, Spartanburg/Upstate CoC","home",627374100
"IN-503","Indianapolis CoC","elderly",627100500
"CA-500","San Jose/Santa Clara City & County CoC","elderly",626042000
"PA-506","Reading/Berks County CoC","coc",623308400
"NJ-500","Atlantic City & County CoC","cdbg_entitlement",621515900
"NH-502","Nashua/Hillsborough County CoC","coc",615282034.880034
"PA-605","Erie City & County CoC","cdbg_entitlement",615128400
"CA-511","Stockton/San Joaquin County CoC","home",614954500
"NJ-501","Bergen County CoC","home",614222800
"WA-503","Tacoma, Lakewood/Pierce County CoC","home",612167630.061256
"TX-603","El Paso City & County CoC","home",610008600
"MO-604","Kansas City (MO&KS), Independence, Lee’s Summit/Jackson, Wyandotte Counties CoC","elderly",609024466.360834
"WI-503","Madison/Dane County CoC","cdbg_entitlement",606752700
"MI-502","Dearborn, Dearborn Heights, Westland/Wayne County CoC","hud_hopwa",605405349.251779
"NJ-507","New Brunswick/Middlesex County CoC","coc",604731600
"CO-503","Metropolitan Denver CoC","hud_hopwa",601375900
"VA-504","Charlottesville CoC","grrp_leading",6e+08
"MA-510_&_MA-516_Shared_Jurisdiction","MA-510_&_MA-516_Shared_Jurisdiction","coc",596212803.501381
"NY-606","Rockland County CoC","coc",595431300
"IN-502","Indiana Balance of State CoC","hud_disability",595050500
"FL-519","Pasco County CoC","cdbg_entitlement",593666800
"MA-510","Gloucester, Haverhill, Salem/Essex County CoC","grrp_leading",592229226.293995
"KY-500","Kentucky Balance of State CoC","elderly",592105600
"CO-503","Metropolitan Denver CoC","elderly",592094719.743029
"NJ-507","New Brunswick/Middlesex County CoC","home",590556500
"ID-501","Idaho Balance of State CoC","cdbg_entitlement",588685600
"TN-501","Memphis/Shelby County CoC","elderly",588667200
"NY-513","Wayne, Ontario, Seneca, Yates Counties CoC","hcv",588486700
"FL-602","Punta Gorda/Charlotte County CoC","hcv",588432200
"KS-502","Wichita/Sedgwick County CoC","cdbg_entitlement",588124200
"WA-508","Vancouver/Clark County CoC","cdbg_entitlement",582154138.004356
"MD-511","Mid-Shore Regional CoC","hcv",580246700
"WI-501","Milwaukee City & County CoC","hud_hopwa",579322400
"UT-500","Salt Lake City & County CoC","home",578578523.413574
"TX-603","El Paso City & County CoC","coc",578464000
"MA-503","Cape Cod Islands CoC","elderly",578354100
"CA-611","Oxnard, San Buenaventura/Ventura County CoC","elderly",577144400
"PA-601","Western Pennsylvania CoC","elderly",576812000
"SC-501","Greenville, Anderson, Spartanburg/Upstate CoC","coc",576207500
"NY-602","Newburgh, Middletown/Orange County CoC","coc",575611600
"MI-500","Michigan Balance of State CoC","cdbg_entitlement",575304400
"MI-504","Pontiac, Royal Oak/Oakland County CoC","home",572771800
"NY-607","Sullivan County CoC","hcv",572768400
"IL-504","Madison County CoC","cdbg_entitlement",571445900
"WI-500","Wisconsin Balance of State CoC","elderly",570551500
"AR-500","Little Rock/Central Arkansas CoC","hud_hopwa",566974700
"TN-502","Knoxville/Knox County CoC","cdbg_entitlement",565080500
"WI-501","Milwaukee City & County CoC","elderly",564253300
"KS-502","Wichita/Sedgwick County CoC","coc",563509200
"WV-501","Huntington/Cabell, Wayne Counties CoC","coc",562993600
"MA-504","Springfield/Hampden County CoC","home",562045700
"FL-502","St. Petersburg, Clearwater, Largo/Pinellas County CoC","hud_disability",561986600
"MA-510_&_MA-516_Shared_Jurisdiction","MA-510_&_MA-516_Shared_Jurisdiction","elderly",560770078.721621
"WA-500","Seattle/King County CoC","hud_hopwa",560713600
"PA-508","Scranton/Lackawanna County CoC","cdbg_entitlement",557671900
"FL-502","St. Petersburg, Clearwater, Largo/Pinellas County CoC","home",554335300
"MI-517","Jackson City & County CoC","hcv",553149000
"RI-500","Rhode Island Statewide CoC","home",551776100
"SC-503","Myrtle Beach, Sumter City & County CoC","coc",550498900
"MS-501","Mississippi Balance of State CoC","elderly",549130300
"CA-606","Long Beach CoC","home",548234286.933034
"TN-504","Nashville-Davidson County CoC","home",547317200
"LA-500","Lafayette/Acadiana Regional CoC","elderly",545218200
"OH-508","Canton, Massillon, Alliance/Stark County CoC","coc",542814100
"LA-500","Lafayette/Acadiana Regional CoC","hud_disability",542783700
"NV-501","Reno, Sparks/Washoe County CoC","cdbg_entitlement",540979800
"SC-500","Charleston/Low Country CoC","home",539113900
"AR-500","Little Rock/Central Arkansas CoC","coc",538754900
"CA-611","Oxnard, San Buenaventura/Ventura County CoC","home",538384700
"CA-510","Turlock, Modesto/Stanislaus County CoC","home",538213800
"IL-506","Joliet, Bolingbrook/Will County CoC","cdbg_entitlement",537778429.531003
"OH-505","Dayton, Kettering/Montgomery County CoC","home",537237100
"NC-507","Raleigh/Wake County CoC","home",533623700
"SC-502","Columbia/Midlands CoC","elderly",532839500
"IL-512","Bloomington/Central Illinois CoC","cdbg_entitlement",532503200
"MN-503","Dakota, Anoka, Washington, Scott, Carver Counties CoC","home",532432700
"MN-501","St. Paul/Ramsey County CoC","elderly",528101800
"AL-507","Alabama Balance of State CoC","grrp_leading",5.28e+08
"TX-607","Texas Balance of State CoC","hud_disability",524856032.348794
"FL-514","Ocala/Marion County CoC","cdbg_entitlement",524001600
"VA-604","Prince William County CoC","cdbg_entitlement",523327800
"LA-500","Lafayette/Acadiana Regional CoC","coc",522230800
"PA-605","Erie City & County CoC","coc",522144100
"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","hud_hopwa",521625500
"FL-606","Naples/Collier County CoC","cdbg_entitlement",520799500
"NC-511","Fayetteville/Cumberland County CoC","cdbg_entitlement",519779300
"NY-511","Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties CoC","coc",514466500
"SC-503","Myrtle Beach, Sumter City & County CoC","cdbg_entitlement",514419600
"CA-516","Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","grrp_comp",5.12e+08
"IL-502","Waukegan, North Chicago/Lake County CoC","coc",510483939.967524
"MD-505","Baltimore County CoC","coc",510428600
"DE-500","Delaware Statewide CoC","elderly",510295700
"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","home",509080800
"NJ-511","Paterson/Passaic County CoC","home",509077100
"MO-501","St. Louis City CoC","hud_hopwa",508954600
"CA-611","Oxnard, San Buenaventura/Ventura County CoC","coc",508827200
"MI-508","Lansing, East Lansing/Ingham County CoC","cdbg_entitlement",508422600
"OR-501","Portland, Gresham/Multnomah County CoC","hud_hopwa",505596700
"NY-503","Albany City & County CoC","hud_hopwa",504985800
"NY-518","Utica, Rome/Oneida, Madison Counties CoC","coc",504884200
"CA-516","Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","elderly",504546000
"MD-600","Prince George's County CoC","elderly",503665700
"PA-505","Chester County CoC","cdbg_entitlement",501412500
"PA-600","Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC","grrp_leading",5e+08
"LA-502","Shreveport, Bossier/Northwest Louisiana CoC","cdbg_entitlement",499053400
"PA-600","Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC","hud_disability",497775500
"NY-603","Nassau, Suffolk Counties CoC","hud_hopwa",497196100
"MN-504","Northeast Minnesota CoC","hcv",495584000
"OH-501","Toledo/Lucas County CoC","home",493700500
"RI-500","Rhode Island Statewide CoC","hud_hopwa",492196300
"WV-508","West Virginia Balance of State CoC","elderly",491532100
"VA-501","Norfolk/Chesapeake, Suffolk, Isle of Wight, Southampton Counties CoC","home",489970000
"IL-517","Aurora, Elgin/Kane County CoC","coc",489690780.190928
"MA-511","Quincy, Brockton, Weymouth, Plymouth City and County CoC","cdbg_entitlement",489309952.615818
"NJ-506","Jersey City, Bayonne/Hudson County CoC","hud_hopwa",489244400
"NH-500","New Hampshire Balance of State CoC","coc",488888600
"NE-500","Nebraska Balance of State CoC","coc",487863074.548486
"MI-504","Pontiac, Royal Oak/Oakland County CoC","elderly",487054700
"MI-503","St. Clair Shores, Warren/Macomb County CoC","home",486973200
"VA-601","Fairfax County CoC","home",485660200
"MI-505","Flint/Genesee County CoC","coc",485458000
"MO-606","Missouri Balance of State CoC","cdbg_entitlement",485449200
"NC-504","Greensboro, High Point CoC","home",484461100
"MI-506","Grand Rapids, Wyoming/Kent County CoC","home",484255100
"FL-502","St. Petersburg, Clearwater, Largo/Pinellas County CoC","elderly",483389900
"NY-606","Rockland County CoC","cdbg_entitlement",482935500
"IL-513","Springfield/Sangamon County CoC","hud_hopwa",482579400
"MD-503","Annapolis/Anne Arundel County CoC","cdbg_entitlement",482530300
"NJ-507","New Brunswick/Middlesex County CoC","elderly",482305300
"NJ-515","Elizabeth/Union County CoC","home",481564600
"CA-607","Pasadena CoC","coc",480832919.44889
"AR-500","Little Rock/Central Arkansas CoC","cdbg_entitlement",480450600
"OK-503","Oklahoma Balance of State CoC","cdbg_entitlement",480187607.079135
"SC-500","Charleston/Low Country CoC","coc",480069000
"NC-500","Winston-Salem/Forsyth County CoC","coc",479185900
"WA-502","Spokane City & County CoC","home",478193800
"CA-500","San Jose/Santa Clara City & County CoC","hud_hopwa",477637100
"NE-501","Omaha, Council Bluffs CoC","home",476868000
"TX-604","Waco/McLennan County CoC","coc",476780600
"PA-600","Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC","hud_esg",476407000
"IA-501","Iowa Balance of State CoC","home",476253700
"MI-508","Lansing, East Lansing/Ingham County CoC","hud_hopwa",475655500
"MD-600","Prince George's County CoC","home",475519100
"MA-506","Worcester City & County CoC","home",475079100
"AZ-502","Phoenix, Mesa/Maricopa County CoC","hud_esg",474982346.633082
"MD-503","Annapolis/Anne Arundel County CoC","coc",473388900
"OH-502","Cleveland/Cuyahoga County CoC","hud_esg",472222000
"NY-601","Poughkeepsie/Dutchess County CoC","cdbg_entitlement",471663500
"CA-518","Vallejo/Solano County CoC","cdbg_entitlement",471195700
"MD-600","Prince George's County CoC","hud_hopwa",470921100
"WA-508","Vancouver/Clark County CoC","elderly",469906300
"KS-505","Overland Park, Shawnee/Johnson County CoC","cdbg_entitlement",469781400
"TX-601","Fort Worth, Arlington/Tarrant County CoC","hud_hopwa",468632903.954909
"GA-506","Marietta/Cobb County CoC","coc",467961700
"IL-507","Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC","cdbg_entitlement",467887100
"FL-511","Pensacola/Escambia, Santa Rosa Counties CoC","cdbg_entitlement",467697600
"KY-502","Lexington-Fayette County CoC","cdbg_entitlement",466945600
"IL-514","Dupage County CoC","elderly",465336864.636105
"NC-504","Greensboro, High Point CoC","coc",464345800
"AL-501","Mobile City & County/Baldwin County CoC","elderly",464254200
"CO-504","Colorado Springs/El Paso County CoC","coc",464218100
"VA-600","Arlington County CoC","coc",462713800
"GA-502","Fulton County CoC","elderly",461339516.029115
"MD-505","Baltimore County CoC","home",460092700
"NC-501","Asheville/Buncombe County CoC","coc",459362500
"FL-500","Sarasota, Bradenton/Manatee, Sarasota Counties CoC","elderly",459096200
"DC-500","District of Columbia CoC","elderly",457646300
"NY-505","Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC","home",455642400
"LA-509","Louisiana Balance of State CoC","hud_hopwa",454435400
"AR-501","Fayetteville/Northwest Arkansas CoC","cdbg_entitlement",451116900
"GA-508","DeKalb County CoC","home",450604855.394791
"IL-517","Aurora, Elgin/Kane County CoC","elderly",449449282.4018
"MD-601","Montgomery County CoC","home",449001800
"MA-510","Gloucester, Haverhill, Salem/Essex County CoC","coc",448586903.11011
"OH-502","Cleveland/Cuyahoga County CoC","hud_hopwa",447634600
"MI-502","Dearborn, Dearborn Heights, Westland/Wayne County CoC","hud_esg",446720023.404709
"WA-504","Everett/Snohomish County CoC","home",446090800
"CA-512","Daly City/San Mateo County CoC","home",444625300
"GA-507","Savannah/Chatham County CoC","cdbg_entitlement",443372800
"OK-503","Oklahoma Balance of State CoC","coc",442061607.92509
"OR-507","Clackamas County CoC","cdbg_entitlement",440685200
"FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","coc",440177700
"AZ-501","Tucson/Pima County CoC","elderly",439912500
"VA-505","Newport News, Hampton/Virginia Peninsula CoC","cdbg_entitlement",438353600
"IL-501","Rockford/Winnebago, Boone Counties CoC","cdbg_entitlement",435645100
"CO-500","Colorado Balance of State CoC","home",434902000
"MI-510","Saginaw City & County CoC","cdbg_entitlement",434441300
"MI-509","Washtenaw County CoC","cdbg_entitlement",434375300
"CA-612","Glendale CoC","cdbg_entitlement",432894789.828734
"OH-506","Akron/Summit County CoC","home",431520300
"MA-506","Worcester City & County CoC","elderly",431370500
"PA-509","Eastern Pennsylvania CoC","elderly",430101000
"NJ-509","Morris County CoC","cdbg_entitlement",428527300
"PA-505","Chester County CoC","elderly",427687400
"NY-523","Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC","coc",424571900
"NJ-510","Lakewood Township/Ocean County CoC","hud_hopwa",424372600
"AR-503","Arkansas Balance of State CoC","cdbg_entitlement",424213400
"PA-502","Upper Darby, Chester, Haverford/Delaware County CoC","home",423036900
"NY-507","Schenectady City & County CoC","cdbg_entitlement",423010800
"HI-501","Honolulu City and County CoC","hud_hopwa",422304100
"WI-503","Madison/Dane County CoC","home",421744400
"MI-501","Detroit CoC","elderly",419802968.059559
"PA-500","Philadelphia CoC","hud_disability",417058800
"WV-508","West Virginia Balance of State CoC","cdbg_entitlement",416536900
"OR-505","Oregon Balance of State CoC","hud_hopwa",414466200
"PA-510","Lancaster City & County CoC","home",413679300
"MD-601","Montgomery County CoC","elderly",412276500
"SC-503","Myrtle Beach, Sumter City & County CoC","home",412003300
"NC-502","Durham City & County CoC","cdbg_entitlement",411606500
"TX-701","Bryan, College Station/Brazos Valley CoC","cdbg_entitlement",411352100
"KY-500","Kentucky Balance of State CoC","hud_hopwa",409382200
"NC-500","Winston-Salem/Forsyth County CoC","cdbg_entitlement",409349900
"FL-504","Daytona Beach, Daytona/Volusia, Flagler Counties CoC","coc",408376100
"NY-607","Sullivan County CoC","grrp_comp",4.08e+08
"MA-519","Attleboro, Taunton/Bristol County CoC","home",407256980.467066
"MD-513","Wicomico, Somerset, Worcester Counties CoC","hcv",406861800
"VA-521","Virginia Balance of State CoC","elderly",405718700
"CA-508","Watsonville/Santa Cruz City & County CoC","elderly",405198300
"KY-501","Louisville-Jefferson County CoC","hud_hopwa",405172900
"FL-503","Lakeland, Winterhaven/Polk County CoC","home",404442400
"OR-501","Portland, Gresham/Multnomah County CoC","elderly",404029200
"MN-502","Rochester/Southeast Minnesota CoC","coc",403183304.581055
"IL-507","Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC","coc",402848700
"OR-500","Eugene, Springfield/Lane County CoC","cdbg_entitlement",402741800
"MS-500","Jackson/Rankin, Madison Counties CoC","coc",402385000
"MA-516","Massachusetts Balance of State CoC","hud_hopwa",401976800.515497
"NJ-511","Paterson/Passaic County CoC","hud_hopwa",399596100
"LA-509","Louisiana Balance of State CoC","home",399403900
"NJ-510","Lakewood Township/Ocean County CoC","elderly",399274000
"AL-504","Montgomery City & County CoC","coc",399205300
"VA-503","Virginia Beach CoC","cdbg_entitlement",398264600
"MA-503","Cape Cod Islands CoC","coc",397996100
"CA-514","Fresno City & County/Madera County CoC","elderly",397195800
"FL-506","Tallahassee/Leon County CoC","coc",396872600
"OH-503","Columbus/Franklin County CoC","hud_disability",394715893.778572
"NY-501","Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC","coc",393972700
"MI-512","Grand Traverse, Antrim, Leelanau Counties CoC","hcv",393955600
"MT-500","Montana Statewide CoC","cdbg_entitlement",393684300
"NV-501","Reno, Sparks/Washoe County CoC","coc",393361200
"PA-510","Lancaster City & County CoC","coc",393019900
"OH-501","Toledo/Lucas County CoC","elderly",392908900
"IA-501","Iowa Balance of State CoC","coc",391324200
"MA-504","Springfield/Hampden County CoC","elderly",388905300
"MN-501","St. Paul/Ramsey County CoC","home",388027300
"ID-500","Boise/Ada County CoC","cdbg_entitlement",387344700
"WA-501","Washington Balance of State CoC","elderly",386901400
"LA-506","Slidell/Southeast Louisiana CoC","coc",385249200
"TN-500","Chattanooga/Southeast Tennessee CoC","cdbg_entitlement",384921600
"CA-603","Santa Maria/Santa Barbara County CoC","home",383629400
"MA-507","Pittsfield/Berkshire, Franklin, Hampshire Counties CoC","cdbg_entitlement",382563800
"IL-518","Rock Island, Moline/Northwestern Illinois CoC","cdbg_entitlement",382444600
"IL-517","Aurora, Elgin/Kane County CoC","home",382298989.928101
"CA-509","Mendocino County CoC","coc",382051200
"TN-507","Jackson/West Tennessee CoC","coc",381824400
"MI-501","Detroit CoC","hud_hopwa",381644650.748221
"MI-516","Norton Shores, Muskegon City & County CoC","hcv",381046100
"IL-502","Waukegan, North Chicago/Lake County CoC","home",380771156.288608
"GA-502","Fulton County CoC","home",379113074.77175
"OK-505","Northeast Oklahoma CoC","hcv",379051800
"WI-503","Madison/Dane County CoC","grrp_leading",3.78e+08
"MI-505","Flint/Genesee County CoC","home",377827300
"MD-501","Baltimore CoC","hud_esg",377698900
"MA-510_&_MA-516_Shared_Jurisdiction","MA-510_&_MA-516_Shared_Jurisdiction","hud_hopwa",377507379.376758
"FL-506","Tallahassee/Leon County CoC","cdbg_entitlement",377052400
"IL-514","Dupage County CoC","home",376795091.257432
"AK-500","Anchorage CoC","cdbg_entitlement",376712500
"MA-510","Gloucester, Haverhill, Salem/Essex County CoC","elderly",374259026.395377
"TX-600","Dallas City & County, Irving CoC","hud_esg",372662129.777118
"KS-503","Topeka/Shawnee County CoC","coc",371638500
"NJ-514","Trenton/Mercer County CoC","hud_hopwa",370193500
"VA-505","Newport News, Hampton/Virginia Peninsula CoC","coc",369946400
"MI-507","Portage, Kalamazoo City & County CoC","coc",369573900
"MO-500","St. Louis County CoC","coc",369532600
"TX-607","Texas Balance of State CoC","hud_esg",368600312.829723
"CO-500","Colorado Balance of State CoC","elderly",368512400
"OH-508","Canton, Massillon, Alliance/Stark County CoC","home",367900200
"KS-503","Topeka/Shawnee County CoC","cdbg_entitlement",367711800
"WI-502","Racine City & County CoC","cdbg_entitlement",367300300
"AZ-502","Phoenix, Mesa/Maricopa County CoC","hud_disability",367254400
"NJ-508","Monmouth County CoC","elderly",367076500
"DE-500","Delaware Statewide CoC","home",366906300
"CA-502","Oakland, Berkeley/Alameda County CoC","hud_disability",366612400
"KY-502","Lexington-Fayette County CoC","coc",366514500
"MI-507","Portage, Kalamazoo City & County CoC","cdbg_entitlement",365391900
"CA-603","Santa Maria/Santa Barbara County CoC","coc",364445600
"HI-501","Honolulu City and County CoC","elderly",364078700
"NY-511","Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties CoC","cdbg_entitlement",363298000
"OK-502","Oklahoma City CoC","home",362583315.708968
"PA-505","Chester County CoC","coc",362567100
"IL-501","Rockford/Winnebago, Boone Counties CoC","elderly",362315200
"AL-503","Huntsville/North Alabama CoC","cdbg_entitlement",362306500
"TX-601","Fort Worth, Arlington/Tarrant County CoC","elderly",361836097.339652
"PA-601","Western Pennsylvania CoC","home",360526800
"MS-503","Gulf Port/Gulf Coast Regional CoC","coc",360374000
"VA-502","Roanoke City & County, Salem CoC","cdbg_entitlement",360370800
"OH-500","Cincinnati/Hamilton County CoC","hud_hopwa",359875000
"CA-529","Lake County CoC","hcv",359485100
"NJ-514","Trenton/Mercer County CoC","home",358857300
"MD-600","Prince George's County CoC","hud_disability",358305900
"OR-506","Hillsboro, Beaverton/Washington County CoC","home",357795500
"IL-503","Champaign, Urbana, Rantoul/Champaign County CoC","cdbg_entitlement",357397100
"MI-510","Saginaw City & County CoC","coc",357295700
"FL-603","Ft Myers, Cape Coral/Lee County CoC","coc",357051300
"MT-500","Montana Statewide CoC","elderly",356456700
"FL-600","Miami-Dade County CoC","hud_esg",355583500
"NM-500","Albuquerque CoC","home",353831553.660691
"NY-508","Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC","hud_esg",353010098.038452
"CO-504","Colorado Springs/El Paso County CoC","home",353006600
"PA-512","York City & County CoC","coc",352751500
"GA-500","Atlanta CoC","elderly",352367642.778893
"GA-504","Augusta-Richmond County CoC","cdbg_entitlement",350504700
"OR-505","Oregon Balance of State CoC","home",350355400
"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","elderly",350163700
"CA-614","San Luis Obispo County CoC","cdbg_entitlement",347979000
"CA-515","Roseville, Rocklin/Placer, Nevada Counties CoC","coc",347578800
"NJ-514","Trenton/Mercer County CoC","elderly",346302400
"PA-506","Reading/Berks County CoC","home",345888800
"NY-505","Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC","elderly",345759900
"KS-502","Wichita/Sedgwick County CoC","home",344171600
"CA-521","Davis, Woodland/Yolo County CoC","cdbg_entitlement",343644000
"NY-512","Troy/Rensselaer County CoC","cdbg_entitlement",343482100
"KY-501","Louisville-Jefferson County CoC","elderly",341450000
"ID-500","Boise/Ada County CoC","coc",341328300
"FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","cdbg_entitlement",341090300
"VT-500","Vermont Balance of State CoC","coc",340403600
"AZ-501","Tucson/Pima County CoC","hud_hopwa",339398400
"TN-502","Knoxville/Knox County CoC","home",337000200
"MI-507","Portage, Kalamazoo City & County CoC","grrp_leading",3.36e+08
"DE-500","Delaware Statewide CoC","hud_hopwa",335815500
"NH-502","Nashua/Hillsborough County CoC","cdbg_entitlement",334474916.303081
"AL-504","Montgomery City & County CoC","cdbg_entitlement",333400500
"ND-500","North Dakota Statewide CoC","cdbg_entitlement",333250000
"DE-500","Delaware Statewide CoC","hud_disability",333118500
"NY-501","Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC","hcv",333019500
"NY-601","Poughkeepsie/Dutchess County CoC","coc",332252900
"WV-501","Huntington/Cabell, Wayne Counties CoC","cdbg_entitlement",331831800
"NJ-508","Monmouth County CoC","home",331479800
"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","home",331154800
"FL-504","Daytona Beach, Daytona/Volusia, Flagler Counties CoC","elderly",329850300
"GA-505","Columbus-Muscogee/Russell County CoC","cdbg_entitlement",329385200
"NJ-509","Morris County CoC","coc",328528100
"PA-504","Lower Merion, Norristown, Abington/Montgomery County CoC","hud_disability",328075500
"FL-500","Sarasota, Bradenton/Manatee, Sarasota Counties CoC","home",327854500
"GA-506","Marietta/Cobb County CoC","home",327760300
"FL-503","Lakeland, Winterhaven/Polk County CoC","coc",327225700
"UT-504","Provo/Mountainland CoC","coc",326641082.919722
"AR-500","Little Rock/Central Arkansas CoC","elderly",326548400
"TN-509","Appalachian Regional CoC","coc",325420600
"AL-501","Mobile City & County/Baldwin County CoC","home",325386400
"KS-507","Kansas Balance of State CoC","cdbg_entitlement",325215000
"MN-505","St. Cloud/Central Minnesota CoC","coc",325182700
"CA-601","San Diego City and County CoC","hud_esg",323574500
"MS-500","Jackson/Rankin, Madison Counties CoC","cdbg_entitlement",322499900
"IA-500","Sioux City/Dakota, Woodbury Counties CoC","cdbg_entitlement",322259200
"GA-505","Columbus-Muscogee/Russell County CoC","coc",322077400
"CA-507","Marin County CoC","cdbg_entitlement",321974200
"WA-508","Vancouver/Clark County CoC","coc",321744400
"NV-501","Reno, Sparks/Washoe County CoC","home",320987600
"SC-501","Greenville, Anderson, Spartanburg/Upstate CoC","elderly",320126600
"MO-600","Springfield/Greene, Christian, Webster Counties CoC","cdbg_entitlement",319376500
"KY-501","Louisville-Jefferson County CoC","hud_disability",319361300
"NY-600","New York City CoC","grrp_elements",319110100
"AL-507","Alabama Balance of State CoC","cdbg_entitlement",319056797.202516
"CA-501","San Francisco CoC","hud_esg",319008900
"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","elderly",318555700
"NC-507","Raleigh/Wake County CoC","hud_disability",317854400
"TN-503","Central Tennessee CoC","coc",317117000
"OH-500","Cincinnati/Hamilton County CoC","elderly",316972273.119766
"ME-500","Maine Balance of State CoC","home",316962600
"NJ-509","Morris County CoC","hud_disability",316925400
"MO-501","St. Louis City CoC","hud_esg",316881800
"NY-514","Jamestown, Dunkirk/Chautauqua County CoC","cdbg_entitlement",315464700
"SD-500","South Dakota Statewide CoC","cdbg_entitlement",315324000
"LA-500","Lafayette/Acadiana Regional CoC","cdbg_entitlement",314552200
"UT-504","Provo/Mountainland CoC","home",314348576.586426
"OR-507","Clackamas County CoC","elderly",313288800
"NM-501","New Mexico Balance of State CoC","elderly",312939790.54043
"TN-506","Upper Cumberland CoC","hcv",312395300
"NC-511","Fayetteville/Cumberland County CoC","home",312036200
"OR-505","Oregon Balance of State CoC","elderly",311911500
"ME-500","Maine Balance of State CoC","hud_disability",311557700
"FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","elderly",311500700
"MO-603","St. Joseph/Andrew, Buchanan, DeKalb Counties CoC","cdbg_entitlement",310891300
"NY-500","Rochester, Irondequoit, Greece/Monroe County CoC","elderly",310574600
"NY-603","Nassau, Suffolk Counties CoC","hud_esg",310382800
"MD-501","Baltimore CoC","hud_disability",309338100
"TN-507","Jackson/West Tennessee CoC","elderly",309318000
"NE-502","Lincoln CoC","cdbg_entitlement",308828070.087867
"WV-500","Wheeling, Weirton Area CoC","cdbg_entitlement",308651500
"VA-507","Portsmouth CoC","cdbg_entitlement",308458700
"NE-501","Omaha, Council Bluffs CoC","elderly",308036300
"MN-500","Minneapolis/Hennepin County CoC","hud_disability",307755700
"PA-603","Beaver County CoC","coc",307499500
"OH-504","Youngstown/Mahoning County CoC","coc",307005500
"NC-502","Durham City & County CoC","coc",306576700
"HI-500","Hawaii Balance of State CoC","elderly",306445800
"TX-700","Houston, Pasadena, Conroe/Harris, Fort Bend, Montgomery Counties CoC","hud_disability",305408423.363012
"PA-504","Lower Merion, Norristown, Abington/Montgomery County CoC","home",304056500
"VA-503","Virginia Beach CoC","coc",304014900
"PA-512","York City & County CoC","home",303990900
"NY-508","Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC","hud_disability",302672545.395059
"OR-500","Eugene, Springfield/Lane County CoC","home",301784100
"CA-607","Pasadena CoC","cdbg_entitlement",300520574.655556
